storepointId,storepointName,kdjd,kdwd,kqdz,storeId,storeName,line_no,layer_no,batch,temp,x,y,z,avg_in_temp,max_temp,min_temp,indoor_temp,indoor_humidity,outdoor_temp,outdoor_humidity
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,23,1,2025-07-26 02:30:32,32.25,5,1,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,23,2,2025-07-26 02:30:32,24.50,5,2,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,23,3,2025-07-26 02:30:32,18.25,5,3,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,23,4,2025-07-26 02:30:32,19.75,5,4,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,24,1,2025-07-26 02:30:32,31.50,4,1,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,24,2,2025-07-26 02:30:32,24.75,4,2,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,24,3,2025-07-26 02:30:32,23.75,4,3,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,24,4,2025-07-26 02:30:32,24.00,4,4,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,25,1,2025-07-26 02:30:32,31.50,3,1,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,25,2,2025-07-26 02:30:32,25.50,3,2,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,25,3,2025-07-26 02:30:32,21.50,3,3,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,25,4,2025-07-26 02:30:32,24.50,3,4,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,26,1,2025-07-26 02:30:32,32.00,2,1,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,26,2,2025-07-26 02:30:32,24.25,2,2,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,26,3,2025-07-26 02:30:32,18.50,2,3,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
7235cd537a08489b8ed7c455a4b03841,三角仓库,116.118569,24.272222,广东省梅州市光明路194号 ,060761ff080d46c082053f97043e79bd,0P2仓,26,4,2025-07-26 02:30:32,20.50,2,4,3,25.31,32.75,18.25,32.56,35.38,28.25,79.31
